	DIRECCIÓN MODBUS	,	 REGISTRO	,	 DESCRIPCIÓN                                                 	,	R/W	,	 ACCESO	,	 Observaciones 	,	 Observaciones 		,
(	529	,	'HR_AO2_FORCE_VALUE   '	,	'Permite forzar la salida O2.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	530	,	'HR_DOALL_VALUE     '	,	'Registro de manejo concatenado sobre el estado de todas las salidas digitales y de relé (Kn/Rn).'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	1530	,	'HR_DI1_FORCE_LO    '	,	'Valor al forzar la entrada D1.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1531	,	'HR_DI1_FORCE_HI    '	,	'Valor al forzar la entrada D1.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1533	,	'HR_DI1_FORCE      '	,	'Permite forzar la entrada D1.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	1580	,	'HR_DI2_FORCE_LO    '	,	'Valor al forzar la entrada D2.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1581	,	'HR_DI2_FORCE_HI    '	,	'Valor al forzar la entrada D2.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1583	,	'HR_DI2_FORCE      '	,	'Permite forzar la entrada D2.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	1630	,	'HR_DI3_FORCE_LO    '	,	'Valor al forzar la entrada D3.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1631	,	'HR_DI3_FORCE_HI    '	,	'Valor al forzar la entrada D3.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1633	,	'HR_DI3_FORCE      '	,	'Permite forzar la entrada D3.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	1680	,	'HR_DI4_FORCE_LO    '	,	'Valor al forzar la entrada D4.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1681	,	'HR_DI4_FORCE_HI    '	,	'Valor al forzar la entrada D4.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1683	,	'HR_DI4_FORCE      '	,	'Permite forzar la entrada D4.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	1730	,	'HR_DI5_FORCE_LO    '	,	'Valor al forzar la entrada D5.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1731	,	'HR_DI5_FORCE_HI    '	,	'Valor al forzar la entrada D5.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1733	,	'HR_DI5_FORCE      '	,	'Permite forzar la entrada D5.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	1780	,	'HR_DI6_FORCE_LO    '	,	'Valor al forzar la entrada D6.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1781	,	'HR_DI6_FORCE_HI    '	,	' Valor al forzar la entrada D6.'	,	'R/W'	,	'16 bits'	,	(estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1783	,	'HR_DI6_FORCE      '	,	'Permite forzar la entrada D6.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	1830	,	'HR_DI7_FORCE_LO    '	,	'Valor al forzar la entrada D7.'	,	'R/W'	,	'16 bits'	,	 (estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1831	,	'HR_DI7_FORCE_HI    '	,	'Valor al forzar la entrada D7.'	,	'R/W'	,	'16 bits'	,	 (estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1833	,	'HR_DI7_FORCE      '	,	'Permite forzar la entrada D7.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	1880	,	'HR_DI8_FORCE_LO    '	,	'Valor al forzar la entrada D8.'	,	'R/W'	,	'16 bits'	,	 (estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1881	,	'HR_DI8_FORCE_HI    '	,	'Valor al forzar la entrada D8.'	,	'R/W'	,	'16 bits'	,	 (estado lógico- contador o integrador de tiempo)	,	'(estado lógico- contador o integrador de tiempo)'	)	,
(	1883	,	'HR_DI8_FORCE      '	,	'Permite forzar la entrada D8.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	2333	,	'HR_AI1_FORCE_VALUE   '	,	'Permite forzar la entrada A1.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	2334	,	'HR_AI1_FORCED_LO    '	,	'Valor al forzar la entrada A1 (32 bits).'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	2335	,	'HR_AI1_FORCED_HI    '	,	'Valor al forzar la entrada A1 (32 bits).'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	2383	,	'HR_AI2_FORCE_VALUE   '	,	'Permite forzar la entrada A2.'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	2384	,	'HR_AI2_FORCED_LO    '	,	'Valor al forzar la entrada A2 (32 bits).'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
(	2385	,	'HR_AI2_FORCED_HI    '	,	'Valor al forzar la entrada A2 (32 bits).'	,	'R/W'	,	'16 bits'	,	NULL	,	NULL	)	,
